Year,Month,Temperature,Precipitation
1864,1,-1.7,7.5
1864,2,1.7,92.7
1864,3,7.2,80.4
1864,4,10.9,12.8
1864,5,15,134
1864,6,18.3,169.2
1864,7,21.1,49.6
1864,8,19.6,179.3
1864,9,16.5,242.1
1864,10,10.4,307.9
1864,11,7.4,94.3
1864,12,3.5,47.5
1865,1,1.9,36.8
1865,2,2.2,8.8
1865,3,3.7,78.4
1865,4,13.6,5.2
1865,5,16.4,140
1865,6,19.5,160.8
1865,7,22,131.9
1865,8,19.5,252.4
1865,9,18.8,20
1865,10,11.7,220.6
1865,11,8,242.2
1865,12,3.2,91.4
1866,1,2.9,43.5
1866,2,5.4,80.4
1866,3,6.7,207.1
1866,4,11.4,185.7
1866,5,13.3,292.1
1866,6,19.2,154.8
1866,7,21.4,115.2
1866,8,19,100.4
1866,9,17,148.8
1866,10,11.3,15.9
1866,11,6.9,3.9
1866,12,4.1,12.2
1867,1,1.7,166.6
1867,2,5.9,50.3
1867,3,7.1,174.2
1867,4,13,115
1867,5,15,163.8
1867,6,19.7,106.8
1867,7,20.3,140.3
1867,8,20.8,48.9
1867,9,18.1,223.4
1867,10,10.7,252.2
1867,11,7,125.4
1867,12,3.8,24.4
1868,1,0.6,112.7
1868,2,4.9,3
1868,3,7.1,25.9
1868,4,10.9,130.3
1868,5,18.6,111.5
1868,6,20,231.8
1868,7,21.3,173
1868,8,20.4,233.4
1868,9,17.9,414.1
1868,10,13.1,270.1
1868,11,5.5,160.7
1868,12,5.7,81.8
1869,1,1.2,9.1
1869,2,5.9,41.6
1869,3,4.5,172.9
1869,4,11.9,139.5
1869,5,16.2,279.9
1869,6,17.3,260.4
1869,7,23.3,48.4
1869,8,19.8,107.7
1869,9,17.8,136.9
1869,10,10.7,64.3
1869,11,6,84.1
1869,12,2.9,221.4
1870,1,0.8,10
1870,2,2.2,40.2
1870,3,6.9,20
1870,4,11.5,29.7
1870,5,17.2,62.5
1870,6,20.2,45.8
1870,7,22.9,99.5
1870,8,18.7,137.6
1870,9,16.5,56.1
1870,10,11.1,24.9
1870,11,7.1,217.5
1870,12,2.5,30
1871,1,0.5,133.6
1871,2,3,0
1871,3,7.9,33
1871,4,12.4,117
1871,5,15.4,41.7
1871,6,15.9,262
1871,7,22,88
1871,8,21.1,94.6
1871,9,19.1,108.4
1871,10,10.8,7.1
1871,11,6.3,197.1
1871,12,-0.4,9.4
1872,1,1.6,121.4
1872,2,3.4,57.8
1872,3,6.9,112.2
1872,4,11.9,194.9
1872,5,13.4,319.6
1872,6,18.4,356.1
1872,7,21.4,202.8
1872,8,19.7,166.1
1872,9,18.1,88.1
1872,10,12.7,389.5
1872,11,7.4,89.6
1872,12,5.2,255
1873,1,3.3,63.5
1873,2,3.1,94.5
1873,3,8.5,97.6
1873,4,10.6,107.4
1873,5,14.9,75.7
1873,6,18.8,104.3
1873,7,22.6,256.5
1873,8,21.7,174
1873,9,16.2,203.3
1873,10,13.4,328.3
1873,11,7.4,168
1873,12,3.4,0.5
1874,1,1.8,26.8
1874,2,2.7,35.2
1874,3,7.2,11.5
1874,4,12.4,129.1
1874,5,13.2,41.4
1874,6,19.7,193
1874,7,23.2,167.9
1874,8,19.8,156
1874,9,18.8,139.7
1874,10,12.7,95
1874,11,5.6,24.1
1874,12,3.4,122.9
1875,1,3.1,18.1
1875,2,1.3,74.1
1875,3,5,6.1
1875,4,10.5,52.3
1875,5,17.6,81.6
1875,6,19.2,326.9
1875,7,19.8,288.4
1875,8,21,186.6
1875,9,18,1.2
1875,10,12.3,177.3
1875,11,6.4,68.6
1875,12,2.5,18.7
1876,1,1.8,84.6
1876,2,4.3,7.9
1876,3,7.7,89.7
1876,4,11.2,467.2
1876,5,12.8,156.6
1876,6,18.6,264.3
1876,7,22.1,85.7
1876,8,21,162.6
1876,9,15.9,57.1
1876,10,14,82.1
1876,11,5.9,57.4
1876,12,4.8,131.2
1877,1,4.8,73.8
1877,2,5.3,16.5
1877,3,5.3,250.6
1877,4,11.3,154.4
1877,5,13.5,349.1
1877,6,21.1,79.5
1877,7,20.6,358.4
1877,8,21.9,114.8
1877,9,16.3,106.4
1877,10,9.7,41.3
1877,11,7.7,181.2
1877,12,3.4,23.8
